"name","address","lng","lat"
"FQHC87","1704 Colorado Blvd,Los Angeles,Los Angeles","-118.203886066602,","34.139270748191"
"FQHC88","17050 S Grafton St,Esparto,Yolo","-122.017303755104,","38.693087714741"
"FQHC89","1717 Las Vegas St,Modesto,Stanislaus","-121.002783767922,","37.606251079946"
"FQHC90","1721 E Hammer Ln,Stockton,San Joaquin","-121.291480507494,","38.020995256856"
"FQHC91","1735 Mission St,San Francisco,San Francisco","-122.419897668377,","37.769598228432"
"FQHC92","1776 E Century Blvd,Los Angeles,Los Angeles","-118.307578149081,","33.945402211009"
"FQHC93","1800 N Lake Ave,Pasadena,Los Angeles","-118.131650561242,","34.1769434701152"
"FQHC94","1801 E March Ln,Stockton,San Joaquin","-121.288601793623,","38.002646006437"
"FQHC95","1809 National Ave,San Diego,San Diego","-117.146601806606,","32.701649170154"
"FQHC96","1814 W Lincoln Ave,Anaheim,Orange","-117.947236064806,","33.832368818104"
"FQHC97","18144 Seco St,Jamestown,Tuolumne","-120.421914184745,","37.952536167854"
"FQHC98","1820 W Lincoln Ave,Anaheim,Los Angeles","-117.94739554957,","33.832369858857"
"FQHC99","1855 N Fair Oaks Ave,Pasadena,Los Angeles","-118.150822638791,","34.177324968757"
"FQHC100","1860 Howe Ave,Sacramento,Sacramento","-121.415216307724,","38.599286806099"
"FQHC101","1900 E Slauson Ave,Huntington Park,Los Angeles","-118.237441216646,","33.989166854923"
"FQHC102","1920 Marengo St,Los Angeles,Los Angeles","-118.209975350717,","34.057683824488"
"FQHC103","1921 Maple Ave,Los Angeles,Los Angeles","-118.26177367474,","34.029373652178"
"FQHC104","1970 University Ave,Riverside,Riverside","-117.354418489906,","33.975594806852"
"FQHC105","1993 Mckee Rd,San Jose,Santa Clara","-121.856140714393,","37.361260691929"
"FQHC106","200 C St,Patterson,Stanislaus","-121.125694945336,","37.467411830123"
"FQHC107","200 Cottage Ave,Manteca,San Joaquin","-121.198169575876,","37.799523257811"
"FQHC108","200 S Wells Rd,Ventura,Ventura","-119.160107036621,","34.293756683428"
"FQHC109","2001 Dwight Way,Berkeley,Alameda","-122.2697738216,","37.863727074674"
"FQHC110","201 E Lakeview Ave,Woodlake,Tulare","-119.096302430689,","36.4171957902778"
"FQHC111","2015 E Mariposa Rd,Stockton,San Joaquin","-121.246497968258,","37.940022080003"
"FQHC112","2021 Main St,Oakley,Contra Costa","-121.73244203325,","38.002922321429"
"FQHC113","2023 Vale Rd,San Pablo,Alameda","-122.338369094918,","37.953326412465"
"FQHC114","2031 6th St,Berkeley,Alameda","-122.297182627494,","37.866478168538"
"FQHC115","20326 Main St,Stratford,Kings","-119.823060033262,","36.18965531398"
"FQHC116","2044 Fair St,Stockton,San Joaquin","-121.264674902538,","37.933534291715"
"FQHC117","205 S St,Fort Bragg,Mendocino","-123.803081335114,","39.4304012106334"
"FQHC118","2050 S Blosser Rd,Santa Maria,Santa Barbara","-120.453869998011,","34.924010169401"
"FQHC119","210 Hospital Dr,Vallejo,Solano","-122.239800588228,","38.131126996401"
"FQHC120","2100 Monument Blvd,Pleasant Hill,Contra Costa","-122.053263398156,","37.945437185054"
"FQHC121","2101 Courage Dr,Fairfield,Solano","-122.066414507975,","38.237348964854"
"FQHC122","2101 Tenaya Dr,Modesto,Stanislaus","-120.95902817652,","37.632445257854"
"FQHC123","2105 Beverly Blvd,Los Angeles,Los Angeles","-118.270368211143,","34.066771235401"
"FQHC124","21138 Paso Robles Hwy,Lost Hills,Kern","-119.695243816796,","35.6165478528937"
"FQHC125","217 Highland Ave,National City,San Diego","-117.10060679298,","32.683163081371"
"FQHC126","219 N Sanborn Rd,Salinas,Monterey","-121.627106546482,","36.676599485857"
"FQHC127","220 Hospital Dr,Vallejo,Solano","-122.23972829276,","38.131127522181"
"FQHC128","2201 Courage Dr,Fairfield,Solano","-122.069984503206,","38.2364874667983"
"FQHC129","221 Ventura Blvd,Oxnard,Ventura","-119.171429128421,","34.231459786408"
"FQHC130","2216 Fair St,Chico,Butte","-121.817934034192,","39.718816187586"
"FQHC131","2219 E 1st St,Los Angeles,Los Angeles","-118.212022394859,","34.044782111729"
